date_time,"los+angeles,ca_maxtempC","los+angeles,ca_mintempC","los+angeles,ca_totalSnow_cm","los+angeles,ca_sunHour","los+angeles,ca_uvIndex","los+angeles,ca_uvIndex","los+angeles,ca_moon_illumination","los+angeles,ca_moonrise","los+angeles,ca_moonset","los+angeles,ca_sunrise","los+angeles,ca_sunset","los+angeles,ca_DewPointC","los+angeles,ca_FeelsLikeC","los+angeles,ca_HeatIndexC","los+angeles,ca_WindChillC","los+angeles,ca_WindGustKmph","los+angeles,ca_cloudcover","los+angeles,ca_humidity","los+angeles,ca_precipMM","los+angeles,ca_pressure","los+angeles,ca_tempC","los+angeles,ca_visibility","los+angeles,ca_winddirDegree","los+angeles,ca_windspeedKmph"
2018-12-11 00:00:00,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,7,17,17,17,3,13,53,0.0,1018,16,10,2,2
2018-12-11 03:00:00,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,7,16,16,16,10,10,55,0.0,1017,15,10,56,6
2018-12-11 06:00:00,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,5,16,16,16,7,7,51,0.0,1018,14,10,359,5
2018-12-11 09:00:00,20,14,0.0,8.7,5,5,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,6,18,18,18,4,13,45,0.0,1018,17,10,49,4
2018-12-11 12:00:00,20,14,0.0,8.7,5,6,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,5,22,24,22,2,6,33,0.0,1017,20,10,217,1
2018-12-11 15:00:00,20,14,0.0,8.7,5,5,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,8,20,20,20,10,2,47,0.0,1017,19,10,246,9
2018-12-11 18:00:00,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,10,19,19,19,8,0,54,0.0,1019,17,10,247,7
2018-12-11 21:00:00,20,14,0.0,8.7,5,0,21,10:13 AM,08:47 PM,06:48 AM,04:44 PM,12,18,18,18,7,0,68,0.0,1019,16,10,125,6
2018-12-12 00:00:00,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,14,20,20,20,3,1,70,0.0,1019,15,10,224,3
2018-12-12 03:00:00,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,10,15,15,15,7,9,69,0.0,1019,14,10,106,5
2018-12-12 06:00:00,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,9,15,15,15,4,18,71,0.0,1019,14,10,138,3
2018-12-12 09:00:00,19,14,0.0,8.7,5,5,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,10,16,16,16,11,14,67,0.0,1020,16,10,122,9
2018-12-12 12:00:00,19,14,0.0,8.7,5,5,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,9,20,20,20,10,4,49,0.0,1020,19,10,178,9
2018-12-12 15:00:00,19,14,0.0,8.7,5,5,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,12,20,20,20,9,0,63,0.0,1020,17,10,174,8
2018-12-12 18:00:00,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,13,19,19,19,5,0,66,0.0,1022,16,10,209,4
2018-12-12 21:00:00,19,14,0.0,8.7,5,0,29,10:51 AM,09:42 PM,06:49 AM,04:44 PM,11,18,18,18,3,0,61,0.0,1023,15,10,2,3
2018-12-13 00:00:00,23,15,0.0,8.7,5,0,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,4,17,17,17,9,4,42,0.0,1023,15,10,339,6
2018-12-13 03:00:00,23,15,0.0,8.7,5,0,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,1,16,16,16,13,4,35,0.0,1023,15,10,39,8
2018-12-13 06:00:00,23,15,0.0,8.7,5,0,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,-2,16,16,16,15,3,28,0.0,1025,15,10,13,8
2018-12-13 09:00:00,23,15,0.0,8.7,5,5,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,-1,21,22,21,10,3,23,0.0,1025,20,10,56,8
2018-12-13 12:00:00,23,15,0.0,8.7,5,6,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,-1,24,24,26,4,3,17,0.0,1023,23,10,79,3
2018-12-13 15:00:00,23,15,0.0,8.7,5,6,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,1,25,24,25,2,2,20,0.0,1023,22,10,220,2
2018-12-13 18:00:00,23,15,0.0,8.7,5,0,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,0,22,22,22,9,1,24,0.0,1023,19,10,29,6
2018-12-13 21:00:00,23,15,0.0,8.7,5,0,36,11:26 AM,10:36 PM,06:50 AM,04:44 PM,-2,18,18,18,25,15,25,0.0,1023,18,10,54,13
2018-12-14 00:00:00,20,16,0.0,7.0,5,0,43,11:58 AM,11:31 PM,06:50 AM,04:45 PM,-0,19,19,19,9,6,27,0.0,1023,17,10,29,5
2018-12-14 03:00:00,20,16,0.0,7.0,5,0,43,11:58 AM,11:31 PM,06:50 AM,04:45 PM,-3,17,17,17,18,13,24,0.0,1022,17,10,51,10
2018-12-14 06:00:00,20,16,0.0,7.0,5,0,43,11:58 AM,11:31 PM,06:50 AM,04:45 PM,-4,17,17,17,11,32,23,0.0,1023,16,10,358,6
2018-12-14 09:00:00,20,16,0.0,7.0,5,5,43,11:58 AM,11:31 PM,06:50 AM,04:45 PM,-4,19,19,19,10,47,21,0.0,1023,18,10,60,7
2018-12-14 12:00:00,20,16,0.0,7.0,5,6,43,11:58 AM,11:31 PM,06:50 AM,04:45 PM,-4,21,21,21,2,48,18,0.0,1021,20,10,88,1
2018-12-14 15:00:00,20,16,0.0,7.0,5,4,43,11:58 AM,11:31 PM,06:50 AM,04:45 PM,-3,19,19,19,2,84,21,0.0,1021,19,10,330,1
2018-12-14 18:00:00,20,16,0.0,7.0,5,0,43,11:58 AM,11:31 PM,06:50 AM,04:45 PM,-1,19,19,19,6,65,26,0.0,1021,18,10,307,4
2018-12-14 21:00:00,20,16,0.0,7.0,5,0,43,11:58 AM,11:31 PM,06:50 AM,04:45 PM,2,17,17,17,2,82,37,0.0,1020,17,10,21,1
2018-12-15 00:00:00,21,15,0.0,8.7,5,0,51,12:28 PM,No moonset,06:51 AM,04:45 PM,0,18,18,18,7,5,31,0.0,1020,16,10,352,5
2018-12-15 03:00:00,21,15,0.0,8.7,5,0,51,12:28 PM,No moonset,06:51 AM,04:45 PM,1,19,19,19,7,0,29,0.0,1019,16,10,24,6
2018-12-15 06:00:00,21,15,0.0,8.7,5,0,51,12:28 PM,No moonset,06:51 AM,04:45 PM,-2,19,19,19,6,0,23,0.0,1019,15,10,359,5
2018-12-15 09:00:00,21,15,0.0,8.7,5,5,51,12:28 PM,No moonset,06:51 AM,04:45 PM,-2,23,23,23,2,0,18,0.0,1019,19,10,341,1
2018-12-15 12:00:00,21,15,0.0,8.7,5,6,51,12:28 PM,No moonset,06:51 AM,04:45 PM,-1,24,23,24,9,0,19,0.0,1018,21,10,221,8
2018-12-15 15:00:00,21,15,0.0,8.7,5,5,51,12:28 PM,No moonset,06:51 AM,04:45 PM,4,22,23,22,8,2,31,0.0,1018,20,10,250,7
2018-12-15 18:00:00,21,15,0.0,8.7,5,0,51,12:28 PM,No moonset,06:51 AM,04:45 PM,7,21,21,21,5,0,40,0.0,1020,18,10,291,4
2018-12-15 21:00:00,21,15,0.0,8.7,5,0,51,12:28 PM,No moonset,06:51 AM,04:45 PM,6,20,20,20,2,0,41,0.0,1020,17,10,129,1
2018-12-16 00:00:00,20,15,0.0,8.7,5,0,58,12:59 PM,12:27 AM,06:52 AM,04:45 PM,6,21,21,21,4,0,37,0.0,1020,16,10,340,3
2018-12-16 03:00:00,20,15,0.0,8.7,5,0,58,12:59 PM,12:27 AM,06:52 AM,04:45 PM,5,20,20,20,5,2,37,0.0,1020,16,10,320,4
2018-12-16 06:00:00,20,15,0.0,8.7,5,0,58,12:59 PM,12:27 AM,06:52 AM,04:45 PM,2,17,17,17,6,4,35,0.0,1021,15,10,322,4
2018-12-16 09:00:00,20,15,0.0,8.7,5,5,58,12:59 PM,12:27 AM,06:52 AM,04:45 PM,7,21,24,21,5,2,38,0.0,1021,18,10,120,5
2018-12-16 12:00:00,20,15,0.0,8.7,5,6,58,12:59 PM,12:27 AM,06:52 AM,04:45 PM,5,21,23,21,8,6,34,0.0,1020,20,10,196,7
2018-12-16 15:00:00,20,15,0.0,8.7,5,5,58,12:59 PM,12:27 AM,06:52 AM,04:45 PM,9,18,18,18,10,9,54,0.0,1020,18,10,233,9
2018-12-16 18:00:00,20,15,0.0,8.7,5,0,58,12:59 PM,12:27 AM,06:52 AM,04:45 PM,11,17,17,17,3,7,67,0.0,1020,16,10,252,3
2018-12-16 21:00:00,20,15,0.0,8.7,5,0,58,12:59 PM,12:27 AM,06:52 AM,04:45 PM,11,16,16,16,3,100,70,0.0,1021,16,10,247,2
2018-12-17 00:00:00,18,14,0.0,8.7,4,0,65,01:31 PM,01:24 AM,06:52 AM,04:46 PM,11,16,16,16,2,66,71,0.0,1021,15,10,214,1
2018-12-17 03:00:00,18,14,0.0,8.7,4,0,65,01:31 PM,01:24 AM,06:52 AM,04:46 PM,11,15,15,15,8,46,77,0.0,1020,15,10,81,6
2018-12-17 06:00:00,18,14,0.0,8.7,4,0,65,01:31 PM,01:24 AM,06:52 AM,04:46 PM,11,15,15,15,3,24,75,0.1,1021,14,10,238,3
2018-12-17 09:00:00,18,14,0.0,8.7,4,5,65,01:31 PM,01:24 AM,06:52 AM,04:46 PM,11,16,16,16,2,38,72,0.0,1022,16,10,84,2
2018-12-17 12:00:00,18,14,0.0,8.7,4,5,65,01:31 PM,01:24 AM,06:52 AM,04:46 PM,10,18,18,18,9,44,60,0.1,1021,18,10,192,8
2018-12-17 15:00:00,18,14,0.0,8.7,4,5,65,01:31 PM,01:24 AM,06:52 AM,04:46 PM,12,17,17,17,10,60,73,0.0,1020,17,10,223,9
2018-12-17 18:00:00,18,14,0.0,8.7,4,0,65,01:31 PM,01:24 AM,06:52 AM,04:46 PM,13,16,16,16,13,73,81,0.2,1022,16,10,244,10
2018-12-17 21:00:00,18,14,0.0,8.7,4,0,65,01:31 PM,01:24 AM,06:52 AM,04:46 PM,13,16,16,16,7,62,87,0.0,1023,15,10,286,5
2018-12-18 00:00:00,19,14,0.0,8.7,5,0,72,02:04 PM,02:23 AM,06:53 AM,04:46 PM,13,17,17,17,2,10,81,0.0,1023,15,10,298,2
2018-12-18 03:00:00,19,14,0.0,8.7,5,0,72,02:04 PM,02:23 AM,06:53 AM,04:46 PM,14,17,17,17,2,3,81,0.0,1022,14,10,56,2
2018-12-18 06:00:00,19,14,0.0,8.7,5,0,72,02:04 PM,02:23 AM,06:53 AM,04:46 PM,10,15,15,15,4,14,73,0.0,1024,14,10,292,3
2018-12-18 09:00:00,19,14,0.0,8.7,5,5,72,02:04 PM,02:23 AM,06:53 AM,04:46 PM,10,17,17,17,4,16,64,0.0,1024,16,10,197,4
2018-12-18 12:00:00,19,14,0.0,8.7,5,5,72,02:04 PM,02:23 AM,06:53 AM,04:46 PM,8,19,19,19,12,12,50,0.0,1022,19,10,233,11
2018-12-18 15:00:00,19,14,0.0,8.7,5,5,72,02:04 PM,02:23 AM,06:53 AM,04:46 PM,11,17,17,17,11,17,66,0.0,1021,17,10,236,9
2018-12-18 18:00:00,19,14,0.0,8.7,5,0,72,02:04 PM,02:23 AM,06:53 AM,04:46 PM,11,17,17,17,7,13,66,0.0,1022,16,10,279,5
2018-12-18 21:00:00,19,14,0.0,8.7,5,0,72,02:04 PM,02:23 AM,06:53 AM,04:46 PM,10,16,16,16,4,11,65,0.0,1023,15,10,209,3
2018-12-19 00:00:00,22,15,0.0,8.7,5,0,80,02:41 PM,03:25 AM,06:54 AM,04:47 PM,7,16,16,16,5,14,55,0.0,1023,15,10,332,3
2018-12-19 03:00:00,22,15,0.0,8.7,5,0,80,02:41 PM,03:25 AM,06:54 AM,04:47 PM,6,15,15,15,10,32,53,0.0,1022,15,10,65,5
2018-12-19 06:00:00,22,15,0.0,8.7,5,0,80,02:41 PM,03:25 AM,06:54 AM,04:47 PM,5,15,15,15,8,32,50,0.0,1022,15,10,11,4
2018-12-19 09:00:00,22,15,0.0,8.7,5,5,80,02:41 PM,03:25 AM,06:54 AM,04:47 PM,5,20,20,20,3,37,39,0.0,1023,19,10,63,3
2018-12-19 12:00:00,22,15,0.0,8.7,5,6,80,02:41 PM,03:25 AM,06:54 AM,04:47 PM,6,24,24,23,10,20,33,0.0,1022,22,10,222,8
2018-12-19 15:00:00,22,15,0.0,8.7,5,6,80,02:41 PM,03:25 AM,06:54 AM,04:47 PM,10,22,24,22,7,5,47,0.0,1021,20,10,228,6
2018-12-19 18:00:00,22,15,0.0,8.7,5,0,80,02:41 PM,03:25 AM,06:54 AM,04:47 PM,11,22,24,22,3,0,50,0.0,1022,19,10,320,3
2018-12-19 21:00:00,22,15,0.0,8.7,5,0,80,02:41 PM,03:25 AM,06:54 AM,04:47 PM,10,21,21,21,1,0,49,0.0,1021,18,10,26,1
2018-12-20 00:00:00,23,17,0.0,8.7,5,0,87,03:24 PM,04:29 AM,06:54 AM,04:47 PM,9,22,24,22,5,0,45,0.0,1021,17,10,2,4
2018-12-20 03:00:00,23,17,0.0,8.7,5,0,87,03:24 PM,04:29 AM,06:54 AM,04:47 PM,4,18,18,18,10,11,40,0.0,1020,17,10,16,5
2018-12-20 06:00:00,23,17,0.0,8.7,5,0,87,03:24 PM,04:29 AM,06:54 AM,04:47 PM,3,17,17,17,8,32,38,0.0,1020,17,10,7,4
2018-12-20 09:00:00,23,17,0.0,8.7,5,6,87,03:24 PM,04:29 AM,06:54 AM,04:47 PM,5,22,23,22,1,5,33,0.0,1021,20,10,102,1
2018-12-20 12:00:00,23,17,0.0,8.7,5,6,87,03:24 PM,04:29 AM,06:54 AM,04:47 PM,5,25,25,26,7,1,27,0.0,1019,23,10,187,6
2018-12-20 15:00:00,23,17,0.0,8.7,5,6,87,03:24 PM,04:29 AM,06:54 AM,04:47 PM,10,23,24,23,9,0,43,0.0,1018,21,10,255,8
2018-12-20 18:00:00,23,17,0.0,8.7,5,0,87,03:24 PM,04:29 AM,06:54 AM,04:47 PM,10,20,20,20,5,5,53,0.0,1019,18,10,315,3
2018-12-20 21:00:00,23,17,0.0,8.7,5,0,87,03:24 PM,04:29 AM,06:54 AM,04:47 PM,7,18,18,18,1,64,51,0.0,1018,17,10,241,0
2018-12-21 00:00:00,20,12,0.0,8.7,4,0,94,04:12 PM,05:36 AM,06:55 AM,04:48 PM,7,17,17,17,3,90,51,0.0,1017,17,10,119,1
2018-12-21 03:00:00,20,12,0.0,8.7,4,0,94,04:12 PM,05:36 AM,06:55 AM,04:48 PM,8,17,17,17,4,26,54,0.0,1016,16,10,135,2
2018-12-21 06:00:00,20,12,0.0,8.7,4,0,94,04:12 PM,05:36 AM,06:55 AM,04:48 PM,9,12,12,12,3,31,78,0.0,1016,12,10,117,3
2018-12-21 09:00:00,20,12,0.0,8.7,4,5,94,04:12 PM,05:36 AM,06:55 AM,04:48 PM,11,19,19,19,2,19,60,0.0,1017,18,10,62,2
2018-12-21 12:00:00,20,12,0.0,8.7,4,5,94,04:12 PM,05:36 AM,06:55 AM,04:48 PM,11,23,24,23,9,2,48,0.0,1015,20,10,180,8
2018-12-21 15:00:00,20,12,0.0,8.7,4,5,94,04:12 PM,05:36 AM,06:55 AM,04:48 PM,11,20,20,20,6,3,55,0.0,1015,19,10,197,5
2018-12-21 18:00:00,20,12,0.0,8.7,4,0,94,04:12 PM,05:36 AM,06:55 AM,04:48 PM,13,19,19,19,5,2,67,0.0,1015,17,10,247,4
2018-12-21 21:00:00,20,12,0.0,8.7,4,0,94,04:12 PM,05:36 AM,06:55 AM,04:48 PM,12,17,17,17,3,14,74,0.0,1015,16,10,87,2
2018-12-22 00:00:00,20,15,0.0,8.7,5,0,100,05:09 PM,06:43 AM,06:55 AM,04:48 PM,12,17,17,17,5,8,72,0.0,1015,15,10,256,4
2018-12-22 03:00:00,20,15,0.0,8.7,5,0,100,05:09 PM,06:43 AM,06:55 AM,04:48 PM,11,16,16,16,5,8,72,0.0,1017,15,10,98,4
2018-12-22 06:00:00,20,15,0.0,8.7,5,0,100,05:09 PM,06:43 AM,06:55 AM,04:48 PM,9,16,16,16,3,7,61,0.0,1017,15,10,19,2
2018-12-22 09:00:00,20,15,0.0,8.7,5,5,100,05:09 PM,06:43 AM,06:55 AM,04:48 PM,9,18,18,18,3,6,55,0.0,1020,17,10,124,3
2018-12-22 12:00:00,20,15,0.0,8.7,5,6,100,05:09 PM,06:43 AM,06:55 AM,04:48 PM,7,22,24,22,7,6,40,0.0,1018,20,10,206,6
2018-12-22 15:00:00,20,15,0.0,8.7,5,5,100,05:09 PM,06:43 AM,06:55 AM,04:48 PM,10,19,19,19,9,7,54,0.0,1018,18,10,228,8
2018-12-22 18:00:00,20,15,0.0,8.7,5,0,100,05:09 PM,06:43 AM,06:55 AM,04:48 PM,10,18,18,18,4,6,60,0.0,1019,17,10,269,4
2018-12-22 21:00:00,20,15,0.0,8.7,5,0,100,05:09 PM,06:43 AM,06:55 AM,04:48 PM,11,17,17,17,3,5,66,0.0,1020,16,10,69,3
2018-12-23 00:00:00,19,14,0.0,8.7,5,0,100,06:12 PM,07:48 AM,06:56 AM,04:49 PM,9,17,17,17,5,14,58,0.0,1020,16,10,327,3
2018-12-23 03:00:00,19,14,0.0,8.7,5,0,100,06:12 PM,07:48 AM,06:56 AM,04:49 PM,9,16,16,16,2,22,63,0.0,1020,15,10,84,1
2018-12-23 06:00:00,19,14,0.0,8.7,5,0,100,06:12 PM,07:48 AM,06:56 AM,04:49 PM,9,16,16,16,5,4,63,0.0,1021,14,10,279,4
2018-12-23 09:00:00,19,14,0.0,8.7,5,5,100,06:12 PM,07:48 AM,06:56 AM,04:49 PM,10,18,18,18,4,6,59,0.0,1022,16,10,163,4
2018-12-23 12:00:00,19,14,0.0,8.7,5,5,100,06:12 PM,07:48 AM,06:56 AM,04:49 PM,9,20,20,20,11,5,49,0.0,1020,19,10,218,9
2018-12-23 15:00:00,19,14,0.0,8.7,5,5,100,06:12 PM,07:48 AM,06:56 AM,04:49 PM,11,18,18,18,7,9,63,0.0,1019,17,10,240,6
2018-12-23 18:00:00,19,14,0.0,8.7,5,0,100,06:12 PM,07:48 AM,06:56 AM,04:49 PM,12,18,18,18,8,4,71,0.0,1020,16,10,263,7
2018-12-23 21:00:00,19,14,0.0,8.7,5,0,100,06:12 PM,07:48 AM,06:56 AM,04:49 PM,12,17,17,17,3,3,74,0.0,1020,15,10,244,2
2018-12-24 00:00:00,19,14,0.0,7.0,5,0,84,07:20 PM,08:46 AM,06:56 AM,04:49 PM,11,18,18,18,3,2,62,0.0,1019,15,10,286,3
2018-12-24 03:00:00,19,14,0.0,7.0,5,0,84,07:20 PM,08:46 AM,06:56 AM,04:49 PM,11,19,19,19,1,1,60,0.0,1019,14,10,5,1
2018-12-24 06:00:00,19,14,0.0,7.0,5,0,84,07:20 PM,08:46 AM,06:56 AM,04:49 PM,8,17,17,17,3,3,54,0.0,1019,14,10,347,3
2018-12-24 09:00:00,19,14,0.0,7.0,5,4,84,07:20 PM,08:46 AM,06:56 AM,04:49 PM,7,16,16,16,4,100,54,0.0,1018,16,10,174,3
2018-12-24 12:00:00,19,14,0.0,7.0,5,5,84,07:20 PM,08:46 AM,06:56 AM,04:49 PM,8,20,20,20,11,4,45,0.0,1016,19,10,214,9
2018-12-24 15:00:00,19,14,0.0,7.0,5,5,84,07:20 PM,08:46 AM,06:56 AM,04:49 PM,9,19,19,19,12,2,53,0.0,1015,18,10,219,10
2018-12-24 18:00:00,19,14,0.0,7.0,5,0,84,07:20 PM,08:46 AM,06:56 AM,04:49 PM,11,16,16,16,13,2,75,0.0,1014,15,10,193,1
2018-12-24 21:00:00,19,14,0.0,7.0,5,0,84,07:20 PM,08:46 AM,06:56 AM,04:49 PM,12,15,15,15,7,77,82,0.0,1013,15,10,201,5
2018-12-25 00:00:00,18,13,0.0,8.7,3,0,77,08:29 PM,09:39 AM,06:56 AM,04:50 PM,12,15,15,15,7,33,80,0.2,1013,15,9,261,5
2018-12-25 03:00:00,18,13,0.0,8.7,3,0,77,08:29 PM,09:39 AM,06:56 AM,04:50 PM,10,13,14,13,17,9,77,0.0,1011,14,10,247,12
2018-12-25 06:00:00,18,13,0.0,8.7,3,0,77,08:29 PM,09:39 AM,06:56 AM,04:50 PM,8,13,14,13,15,9,68,0.2,1010,13,10,270,11
2018-12-25 09:00:00,18,13,0.0,8.7,3,4,77,08:29 PM,09:39 AM,06:56 AM,04:50 PM,7,16,16,16,6,13,58,0.0,1010,15,10,306,5
2018-12-25 12:00:00,18,13,0.0,8.7,3,5,77,08:29 PM,09:39 AM,06:56 AM,04:50 PM,3,18,18,18,13,11,35,0.0,1009,18,10,319,12
2018-12-25 15:00:00,18,13,0.0,8.7,3,5,77,08:29 PM,09:39 AM,06:56 AM,04:50 PM,3,17,17,17,29,6,39,0.0,1010,17,10,331,23
2018-12-25 18:00:00,18,13,0.0,8.7,3,0,77,08:29 PM,09:39 AM,06:56 AM,04:50 PM,2,14,15,14,23,1,43,0.0,1012,15,10,338,17
2018-12-25 21:00:00,18,13,0.0,8.7,3,0,77,08:29 PM,09:39 AM,06:56 AM,04:50 PM,3,12,14,12,31,3,48,0.0,1013,14,10,341,20
2018-12-26 00:00:00,18,12,0.0,7.0,4,0,69,09:39 PM,10:24 AM,06:57 AM,04:50 PM,3,14,14,14,14,8,46,0.0,1015,13,10,344,10
2018-12-26 03:00:00,18,12,0.0,7.0,4,0,69,09:39 PM,10:24 AM,06:57 AM,04:50 PM,3,13,14,13,10,8,49,0.0,1016,13,10,350,8
2018-12-26 06:00:00,18,12,0.0,7.0,4,0,69,09:39 PM,10:24 AM,06:57 AM,04:50 PM,2,14,14,14,8,3,46,0.0,1017,12,10,341,6
2018-12-26 09:00:00,18,12,0.0,7.0,4,5,69,09:39 PM,10:24 AM,06:57 AM,04:50 PM,2,16,16,16,3,39,39,0.0,1018,16,10,123,3
2018-12-26 12:00:00,18,12,0.0,7.0,4,4,69,09:39 PM,10:24 AM,06:57 AM,04:50 PM,2,18,18,18,9,70,33,0.0,1016,18,10,218,8
2018-12-26 15:00:00,18,12,0.0,7.0,4,5,69,09:39 PM,10:24 AM,06:57 AM,04:50 PM,4,18,18,18,12,14,39,0.0,1016,17,10,237,10
2018-12-26 18:00:00,18,12,0.0,7.0,4,0,69,09:39 PM,10:24 AM,06:57 AM,04:50 PM,7,19,19,19,5,0,48,0.0,1017,16,10,260,5
2018-12-26 21:00:00,18,12,0.0,7.0,4,0,69,09:39 PM,10:24 AM,06:57 AM,04:50 PM,4,15,15,15,3,32,50,0.0,1017,14,10,291,2
2018-12-27 00:00:00,18,12,0.0,8.7,4,0,62,10:45 PM,11:05 AM,06:57 AM,04:51 PM,5,16,15,16,5,7,50,0.0,1016,13,10,74,4
2018-12-27 03:00:00,18,12,0.0,8.7,4,0,62,10:45 PM,11:05 AM,06:57 AM,04:51 PM,6,14,13,14,5,32,60,0.0,1015,13,10,15,4
2018-12-27 06:00:00,18,12,0.0,8.7,4,0,62,10:45 PM,11:05 AM,06:57 AM,04:51 PM,5,13,13,13,3,10,57,0.0,1015,12,10,43,3
2018-12-27 09:00:00,18,12,0.0,8.7,4,4,62,10:45 PM,11:05 AM,06:57 AM,04:51 PM,8,16,16,16,7,3,60,0.0,1015,14,10,138,6
2018-12-27 12:00:00,18,12,0.0,8.7,4,5,62,10:45 PM,11:05 AM,06:57 AM,04:51 PM,0,18,18,18,16,0,30,0.0,1013,18,10,338,14
2018-12-27 15:00:00,18,12,0.0,8.7,4,5,62,10:45 PM,11:05 AM,06:57 AM,04:51 PM,0,16,16,16,31,0,35,0.0,1013,16,10,343,24
2018-12-27 18:00:00,18,12,0.0,8.7,4,0,62,10:45 PM,11:05 AM,06:57 AM,04:51 PM,-2,11,13,11,33,0,35,0.0,1015,13,10,355,23
2018-12-27 21:00:00,18,12,0.0,8.7,4,0,62,10:45 PM,11:05 AM,06:57 AM,04:51 PM,-4,11,13,11,31,0,30,0.0,1016,13,10,2,19
2018-12-28 00:00:00,15,11,0.0,8.7,4,0,55,11:50 PM,11:42 AM,06:58 AM,04:52 PM,-6,10,12,10,28,0,27,0.0,1018,12,10,14,17
2018-12-28 03:00:00,15,11,0.0,8.7,4,0,55,11:50 PM,11:42 AM,06:58 AM,04:52 PM,-6,10,12,10,18,0,29,0.0,1019,11,10,8,13
2018-12-28 06:00:00,15,11,0.0,8.7,4,0,55,11:50 PM,11:42 AM,06:58 AM,04:52 PM,-10,9,11,9,21,0,21,0.0,1020,11,10,31,14
2018-12-28 09:00:00,15,11,0.0,8.7,4,4,55,11:50 PM,11:42 AM,06:58 AM,04:52 PM,-12,13,14,13,16,0,16,0.0,1021,13,10,40,14
